ticker,name,isin,founded,subsidiaries,products,industries
GOOGL,Google,,1998,Google+|Waymo|Google Voice|YouTube|Google Earth|X Development|Google Workspace|Google Translate|Google News|meebo|Google Now|FeedBurner|VirusTotal|Google Fiber|Google Ads|Google Search|Blogger|Google Nest|Boston Dynamics|Motorola Mobility|Waze|Google Scholar|111 Eighth Avenue|Google.org|Neotonic Software|PeakStream|WIMM One|Google Reader|Google Labs|GV|Google Cloud Platform|Google Store|Google Videos|Google Analytics|dMarc Broadcasting|Fitbit|ITA Software|ImageAmerica|Google China|AdMob|Google Sites|Google Knowledge Graph|Google Images|Google Cloud Print|.gle|.google|Google Link Graph|Google Poland|SlickLogin|Google DeepMind|Vevo|Google Buzz|Google Account|Google Developers|Google Sky|elgooG|Google Search Console|Google Arts & Culture|Google AdSense|Google Books|Google Fi|BebaPay|Google Nearline|Lift Labs|Google Italy|Google Dataset Search|Alooma|Google Bus|Google Street View|Google Latitude|Google Public DNS|Google|Endoxon|GoogleLLC|Urchin Software Corporation|BufferBox|Bump|Google Groups|Google Trends|Google Hacking Database|Google Voice Search|Google Mars|Google Patents|Google Image Labeler|Google Public Data Explorer|google.by|Google Cloud Storage|Android sculptures|BigQuery|Chelsea Market|Google Workspace Marketplace|Google Chrome extension|Google Dictionary|Google Code Search|Googleplex|Google Flights|Google Help Forums|Google Image Swirl|like.com|RightsFlow|WDYL|Google Shopping|Google Contacts|Trimble 3D Warehouse|Google Optimize|Metaweb|Google URL Shortener|Google Tag Manager|Google Fonts|Lifescape|On2 Technologies|Google Chrome Experiments|.みんな|Google Garage|Google Traffic|Google Express|Google Chrome app|Terra Bella|Google Domains|Google Directory|Inbox by Gmail|Project Zero|Google Photos|Google Alerts|Google Programmable Search Engine|Google Moon|Google (Switzerland)|Google (Ireland)|Google Canada|Google Open Source|YouTube LLC|Planetary Ventures|Google Japan G.K.|Google Finance|Chrome Web Store|Google Health|Google Pay Send Vivek Kumar,search engine|Google Ads|Google Voice|Google Search,Internet|information technology|internet marketing|software industry|technology industry|Internet industry
AAPL,Apple Inc.,US0378331005,1976,"Apple Store|FileMaker, Inc.|Beats Electronics|Prismo Graphics|Raycer|SchemaSoft|Braeburn Capital|Imagination Technologies|AuthenTec|Siri Inc.|Claris|Anobit|FingerWorks|Apple Germany|Apple Israel|Apple Sales International|Apple Czech|Apple Korea",HomePod|AirPods|Apple Pay|Apple Watch|networking hardware|wearable computer|consumer electronics|personal digital assistant|Apple TV|peripheral|tablet computer|Mac|smartphone|personal computer|iPod touch|iMac|IPod|computer hardware|software,electronics|information technology|software industry|digital distribution|software development|mobile phone industry|consumer electronics industry
GOOGL,Alphabet Inc.,US02079K3059,2015,Google Fiber|Google|Waymo|X Development|GV|Owlchemy Labs|Google Nest|Google Ireland Holdings Unlimited Company|Wing|Waymo Holding|XXVI Holdings|Calico|Loon,,information technology
AMZN,Amazon,US0231351067,1994,"Box Office Mojo|Audible|Amazon Web Services|LoveFilm|Whole Foods Market|Alexa Internet|Amazon Kindle|A9.com|Amazon Prime Video|Amazon Publishing|Amazon MGM Studios|iRobot|Amazon Lab126|Reflexive Entertainment|Amazon Music|Gates Foundation|Woot|Zappos|Amazon Tower I|Day 1|Amazon Books|Double Helix Games|MGM Holdings|Amazon Fresh|AbeBooks|Askville|ComiXology|Diapers.com|Digital Photography Review|endless.com|junglee.com|Shelfari|Book Depository|Ring|Graphiq|Amazon Robotics|Amazon HQ2|Treasure Truck|.yamaxun|.zappos|Amazon Go|Twitch Interactive|Amazon University Esports|Amazon Europe Core|Amazon Czech Republic Services|Amazon Prime Air|Amazon Technologies|Souq.com|Sqrrl|Amazon Logistics|eero|Amazon Spheres|INLT|One Medical|Goodreads|Body Labs|IMDb.com, Inc.|Amazon Air|Amazon Logistic Prague|.free",Amazon.com|Shopbop|Amazon Prime|Amazon Echo|Amazon Fire TV|Amazon S3|ComiXology|Amazon Prime Video|Amazon Fresh|Amazon Web Services|Amazon Appstore|Alexa Internet|IMDb|Amazon Kindle,retail|web service|e-commerce|web hosting service
TSLA,"Tesla, Inc.",US88160R1014,2003,Tesla Fremont Factory|Giga Nevada|Giga New York|Giga Shanghai|Gigafactory Berlin-Brandenburg|Gigafactory Texas|Tesla Grohmann Automation|SolarCity|Gigafactory Mexico,,automotive industry|solar industry|battery industry
NFLX,"Netflix, Inc.",US64110L1061,1997,Albuquerque Studios|Netflix Animation|Millarworld|StoryBots|Netflix Russia|Netflix Sweden|Netflix International B.V.|Netflix Holdings UK Limited|Netflix Studios|Netflix G.K.|Netflix Norway|Netflix Finland|Netflix Denmark|Netflix Iceland,FAST Speed Test|FAST.com|Netflix,streaming media|film production|DVD-by-mail|television production|film distribution
MSFT,Microsoft,US5949181045,1975,"Activision Blizzard|aQuantive|Ensemble Studios|Ciao|Windows Live Admin Center|Microsoft account|Avanade|Microsoft Bing|Digital Anvil|Microsoft Store|Microsoft Japan|Microsoft Production Studios|Microsoft Research Asia|ProClarity|Tellme Networks|Visio Corporation|Windows Live Web Messenger|Havok|Bing News|Bing Webmaster Center|Ms. Dewey|MSN Games|Xamarin|Microsoft PowerToys|Windows Live Spaces|Microsoft TechNet|BigPark|Games for Windows|Microsoft Academic Search|Microsoft Global Finance|Microsoft Ireland Operations|Microsoft Online|Microsoft Operations|Microsoft Regional Sales|LinkedIn Ireland|Softomotive|DreamWorks Interactive|Microsoft Switzerland|Microsoft Canada|Microsoft Ireland Research|Hotmail Calendar|Windows Live|Microsoft Developer Network|Microsoft (Ukraine)|Microsoft Israel|DATAllegro|Danger, Inc.|GreenButton|Jellyfish.com|Massive Incorporated|Microsoft Algeria|Microsoft India R & D|Nuance Communications|.bing|Microsoft Garage|Microsoft Mobile|Bing Maps|Microsoft OneDrive|Bing Health|MSN Travel|Bing Videos|The Coalition|Channel 9|docs.com|Good Science Studio|MGS Mobile Gaming|MSN China|MSN Internet Access|MSN Music|Xbox Entertainment Studios|.NET My Services|Microsoft Academic|Microsoft s.r.o.|Columbia Data Center|Microsoft Casual Games|Microsoft Update Catalog|System Center Advisor|Launchworks|Microsoft Vine|Press Play|Sway|Mojang Studios|Live Search|Windows Live Home|so.cl|MSN Groups|Cambria|Office Online|Windows Live Call|Razorfish|Microsoft Kids|Perceptive Pixel|Live Search Academic|Live Search Books|Microsoft Pinpoint|Microsoft Popfly|Revolution Analytics|Aces Studio|Microsoft (United Kingdom)|Microsoft (Netherlands)|Microsoft (France)|Clipchamp Pty Ltd|Microsoft Morocco|LinkedIn Corporation|OpenAI Global|Microsoft|Xbox Game Studios|Turn 10 Studios|ZeniMax Media|Powerset|Skype Technologies|Fast Search & Transfer|MSN|Viva Engage|CodePlex|Corbel|Rare Ltd.|Sysinternals|Lionhead Studios|LinkedIn|Outlook.com|Microsoft Translator|Microsoft Egypt|Microsoft Saudi",Microsoft Dynamics|Azure|Microsoft Surface|Microsoft Bing|Visual Studio|Microsoft Windows|computer hardware|software|Microsoft Mobile|Microsoft Servers,software industry|software development|technology industry|International Standard Industrial Classification
NVDA,Nvidia,US67066G1040,1993,Ageia|Icera|Mellanox Technologies|Mental Images|Nvidia Ltd.|Nvidia Riva|GeForce Now,graphics processing unit|chipset|software,semiconductor industry
